,moving_time,distance,average_heartrate,relative_effort,time_z1,time_z2,time_z3,time_z4,time_z5,TRIMP,TRIMP_score,Relative Effort,diff_re
30,3600,10000.0,160.0,111.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,3600.0,0.030833333333333334
31,1800,5000.0,160.0,55.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,1800.0,0.030555555555555555
49,10800,30000.0,155.0,314.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,10800.0,0.029074074074074075
50,7200,20000.0,155.0,209.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,7200.0,0.029027777777777777
51,3600,10000.0,155.0,104.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,3600.0,0.028888888888888888
52,1800,5000.0,155.0,52.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,1800.0,0.028888888888888888
53,10800,30000.0,150.0,257.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,10800.0,0.023796296296296298
54,7200,20000.0,150.0,171.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,7200.0,0.02375
1,3600,10000.0,150.0,85.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,3600.0,0.02361111111111111
2,1800,5000.0,150.0,42.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,1800.0,0.023333333333333334
21,10800,30000.0,140.0,129.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,7200.0,0.017916666666666668
27,3600,10000.0,140.0,43.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.017916666666666668
28,7200,20000.0,140.0,86.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,4800.0,0.017916666666666668
26,1800,5000.0,140.0,21.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.0175
55,10800,30000.0,110.0,32.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,3600.0,0.008888888888888889
22,10800,30000.0,110.0,32.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,3600.0,0.008888888888888889
23,7200,20000.0,110.0,21.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,2400.0,0.00875
56,7200,20000.0,110.0,21.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,2400.0,0.00875
57,3600,10000.0,110.0,10.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,1200.0,0.008333333333333333
25,1800,5000.0,110.0,5.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,600.0,0.008333333333333333
24,3600,10000.0,110.0,10.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,1200.0,0.008333333333333333
58,1800,5000.0,110.0,5.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,600.0,0.008333333333333333
59,10800,30000.0,105.0,29.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,3600.0,0.008055555555555555
60,7200,20000.0,105.0,19.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,2400.0,0.007916666666666667
61,3600,10000.0,105.0,9.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,1200.0,0.0075
63,10800,30000.0,100.0,26.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,3600.0,0.007222222222222222
64,7200,20000.0,100.0,17.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,2400.0,0.007083333333333333
66,1800,5000.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,600.0,0.006666666666666667
65,3600,10000.0,100.0,8.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,1200.0,0.006666666666666667
62,1800,5000.0,105.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,20.0,600.0,0.006666666666666667
5,3600,10000.0,130.0,15.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.00625
9,1800,5000.0,130.0,7.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005833333333333334
67,1800,5000.0,128.0,7.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005833333333333334
68,10800,30000.0,123.0,40.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,7200.0,0.005555555555555556
69,7200,20000.0,123.0,26.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,4800.0,0.005416666666666667
70,3600,10000.0,123.0,13.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.005416666666666667
72,10800,30000.0,118.0,37.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,7200.0,0.005138888888888889
71,1800,5000.0,123.0,6.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005
4,3600,10000.0,120.0,12.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.005
10,1800,5000.0,120.0,6.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005
75,1800,5000.0,118.0,6.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005
0,1800,5000.0,118.0,6.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.005
73,7200,20000.0,118.0,24.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,4800.0,0.005
74,3600,10000.0,118.0,12.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.005
76,10800,30000.0,113.0,34.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,7200.0,0.004722222222222222
77,7200,20000.0,113.0,22.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,4800.0,0.004583333333333333
78,3600,10000.0,113.0,11.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,2400.0,0.004583333333333333
79,1800,5000.0,113.0,5.0,0.0,1.0,0.0,0.0,0.0,200.0,40.0,1200.0,0.004166666666666667
